[07:15:57][game_application.cpp:448]: Game Version: Libra v3.3.4
[07:15:57][defines.cpp:128]: 1530 defines loaded
[07:17:19][gamecontrolcommands.cpp:366]: Sending sync response, machine id: 1
[07:17:19][galaxy_generator.cpp:3777]: Generating World! Specified Seed: 799355771
[07:17:19][galaxy_generator.cpp:302]: Generating Stars! Random Seed: 1566696464, Number of Stars: 783
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696471, Position: 32.35041 -158.40308
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696478, Position: 199.1056 -397.10548
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696485, Position: -407.44304 -5.50609
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696492, Position: 268.19089 303.40681
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696499, Position: -300.19988 10.20603
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696506, Position: 11.18198 -328.22959
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696513, Position: -9.23668 427.30518
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696520, Position: -407.65858 101.622
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696527, Position: -23.87975 -139.63385
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696534, Position: -160.29858 -23.04844
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696541, Position: 297.27915 16.30239
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696548, Position: 331.87546 -167.65494
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696555, Position: 315.44631 12.75359
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696562, Position: -168.6593 136.9211
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696569, Position: -230.42107 97.30267
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696576, Position: 159.00253 162.2555
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696583, Position: 133.06674 179.52715
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696590, Position: 151.24838 -46.80673
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696597, Position: -84.89622 302.35652
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696604, Position: -279.60942 -262.40103
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696611, Position: -34.94271 202.77493
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696618, Position: -307.63684 -29.11314
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696625, Position: -236.8992 142.03624
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696632, Position: -18.64935 -161.96918
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696646, Position: 233.06518 331.70756
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696653, Position: -5.43894 291.39002
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696660, Position: 302.63774 244.69652
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696667, Position: 198.72628 -153.17303
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696674, Position: 72.04978 -166.9765
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696681, Position: -225.31003 -41.05585
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696688, Position: -374.46318 161.709
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696695, Position: -21.50161 -293.90538
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696702, Position: 38.60539 -296.08589
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696709, Position: 0.88682 311.46304
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696716, Position: -33.24182 -177.05178
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696723, Position: -108.96374 -238.73918
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696730, Position: -93.05131 186.74084
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696737, Position: 264.09595 -40.46855
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696744, Position: 322.24505 51.02164
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696751, Position: 4.8866 149.1657
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696758, Position: 250.01307 302.47206
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696765, Position: 160.99099 -181.85529
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696772, Position: -129.67775 423.65913
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696779, Position: 158.21014 -144.24759
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696786, Position: -306.52385 78.29206
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696793, Position: 295.52136 117.15822
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696800, Position: -202.8895 -144.26144
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696807, Position: -131.18346 -175.51087
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696814, Position: 95.01423 -178.93169
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696821, Position: 37.75799 -416.28813
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696828, Position: -113.35651 288.66782
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696842, Position: -285.21897 -248.51499
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696849, Position: 107.48025 266.16465
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696856, Position: 135.2149 -34.28817
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696870, Position: 293.61706 -189.71324
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696877, Position: -72.70058 173.6453
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696884, Position: 423.81058 59.01305
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696891, Position: 186.31196 44.53552
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696898, Position: -28.36012 282.87835
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696905, Position: -50.39885 -157.56624
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696912, Position: 69.32742 128.96484
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696919, Position: 128.12666 -178.85859
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696926, Position: 172.97222 -42.56486
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696940, Position: -226.27376 -291.63575
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696947, Position: 1.77482 330.12089
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696954, Position: -83.86018 -396.0302
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696961, Position: -59.80425 -150.50194
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696968, Position: -192.21752 -1.47175
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696975, Position: -38.63886 -286.93215
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696982, Position: 288.55535 -255.71573
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696989, Position: 398.43483 -98.33414
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566696996, Position: -194.50533 -23.96546
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566697003, Position: -301.30614 -37.36496
[07:17:19][galaxy_generator.cpp:398]: Creating Star! Random: 1566697010, Position: -308.64036 278.58579
